stt,filename,file_path,full_text,nominal,upper_tol,lower_tol,case_type,has_fraction_line,is_boxed,angle
1,syn_000001.png,images/syn_000001.png,M4.04 -0.002/-0.004,M4.04,-0.002,-0.004,stacked_normal,False,False,-0.66
2,syn_000002.png,images/syn_000002.png,12.5°,12.5°,,,angle_decimal_deg,False,False,60.67
3,syn_000003.png,images/syn_000003.png,R1.998 +0.02/0,R1.998,+0.02,0,stacked_fraction,True,False,0.52
4,syn_000004.png,images/syn_000004.png,26.232 +0.015/-0.002,26.232,+0.015,-0.002,stacked_normal,False,False,0.49
5,syn_000005.png,images/syn_000005.png,R33.613 +0.004/+0.002,R33.613,+0.004,+0.002,stacked_normal,False,False,0.73
6,syn_000006.png,images/syn_000006.png,57.63 +0.003/0,57.63,+0.003,0,stacked_fraction,True,False,0.12
7,syn_000007.png,images/syn_000007.png,Ø50.324±0.015,Ø50.324,+0.015,-0.015,symmetric_tight,False,False,0.1
8,syn_000008.png,images/syn_000008.png,Ø75 +0.015/0,Ø75,+0.015,0,stacked_normal,False,False,-0.7
9,syn_000009.png,images/syn_000009.png,R81.436±0.005,R81.436,+0.005,-0.005,symmetric_tight,False,False,0.51
10,syn_000010.png,images/syn_000010.png,50.324±0.02,50.324,+0.02,-0.02,symmetric_tight,False,False,-0.13
11,syn_000011.png,images/syn_000011.png,0.25,0.25,,,simple_nominal_plain,False,False,0.44
12,syn_000012.png,images/syn_000012.png,Ø79.348 -0.003/-0.008,Ø79.348,-0.003,-0.008,stacked_normal,False,False,0.56
13,syn_000013.png,images/syn_000013.png,C0.1,C0.1,,,simple_chamfer,False,False,-0.64
14,syn_000014.png,images/syn_000014.png,73.65±0.025,73.65,+0.025,-0.025,symmetric_tight,False,False,0.57
15,syn_000015.png,images/syn_000015.png,Ø16 +0.005/+0.002,Ø16,+0.005,+0.002,stacked_fraction,True,False,0.46
16,syn_000016.png,images/syn_000016.png,1.430 +0.03/0,1.430,+0.03,0,stacked_fraction,True,False,-0.5
17,syn_000017.png,images/syn_000017.png,2.75 -0.002/-0.007,2.75,-0.002,-0.007,stacked_fraction,True,False,0.58
18,syn_000018.png,images/syn_000018.png,12.160 +0.05/-0.02,12.160,+0.05,-0.02,stacked_fraction,True,False,0.05
19,syn_000019.png,images/syn_000019.png,57.63 -0.01/-0.013,57.63,-0.01,-0.013,stacked_normal,False,False,5.86
20,syn_000020.png,images/syn_000020.png,0.5°,0.5°,,,angle_decimal_deg,False,False,-29.8
21,syn_000021.png,images/syn_000021.png,0.652 +0.01/0,0.652,+0.01,0,stacked_normal,False,False,4.08
22,syn_000022.png,images/syn_000022.png,Ø63.077 0/-0.05,Ø63.077,0,-0.05,stacked_normal,False,False,-0.58
23,syn_000023.png,images/syn_000023.png,"90°21'10""","90°21'10""",,,angle_dms_full,False,False,58.58
24,syn_000024.png,images/syn_000024.png,45° 56',45° 56',,,angle_dms_min,False,False,-0.6
25,syn_000025.png,images/syn_000025.png,11.264±0.02,11.264,+0.02,-0.02,symmetric_tight,False,False,0.43
26,syn_000026.png,images/syn_000026.png,1.998 0/-0.03,1.998,0,-0.03,stacked_normal,False,False,-0.36
27,syn_000027.png,images/syn_000027.png,25 +0.004/+0.001,25,+0.004,+0.001,stacked_fraction,True,False,-0.17
28,syn_000028.png,images/syn_000028.png,R1.5 MIN,R1.5 MIN,,,simple_radius_corner,False,False,-31.32
29,syn_000029.png,images/syn_000029.png,1.998±0.1,1.998,+0.1,-0.1,symmetric_tight,False,False,-0.35
30,syn_000030.png,images/syn_000030.png,Ø43.337 +0.007/+0.005,Ø43.337,+0.007,+0.005,stacked_fraction,True,False,-0.03
31,syn_000031.png,images/syn_000031.png,30 +0.02/0,30,+0.02,0,stacked_fraction,True,False,-0.41
32,syn_000032.png,images/syn_000032.png,50,50,,,simple_nominal_plain,False,False,-0.51
33,syn_000033.png,images/syn_000033.png,M2.75 +0.01/-0.005,M2.75,+0.01,-0.005,stacked_fraction,True,False,0.13
34,syn_000034.png,images/syn_000034.png,Ø56.003 +0.003/0,Ø56.003,+0.003,0,stacked_fraction,True,False,0.3
35,syn_000035.png,images/syn_000035.png,R5 MIN,R5 MIN,,,simple_radius_corner,False,False,0.51
36,syn_000036.png,images/syn_000036.png,2.75 +0.01/0,2.75,+0.01,0,stacked_normal,False,False,-0.02
37,syn_000037.png,images/syn_000037.png,Ø38.350 +0.003/0,Ø38.350,+0.003,0,stacked_normal,False,False,-0.51
38,syn_000038.png,images/syn_000038.png,12°55',12°55',,,angle_dms_min,False,False,-60.56
39,syn_000039.png,images/syn_000039.png,Ø11.511 -0.001/-0.004,Ø11.511,-0.001,-0.004,stacked_normal,False,False,0.81
40,syn_000040.png,images/syn_000040.png,7.525 0/-0.03,7.525,0,-0.03,stacked_fraction,True,False,-0.07
41,syn_000041.png,images/syn_000041.png,Ø32±0.02,Ø32,+0.02,-0.02,symmetric_tight,False,False,0.0
42,syn_000042.png,images/syn_000042.png,11.631 0/-0.002,11.631,0,-0.002,stacked_fraction,True,False,2.66
43,syn_000043.png,images/syn_000043.png,50.324 +0.02/-0.03,50.324,+0.02,-0.03,stacked_normal,False,False,0.46
44,syn_000044.png,images/syn_000044.png,32±0.1,32,+0.1,-0.1,symmetric_tight,False,False,0.75
45,syn_000045.png,images/syn_000045.png,120°45',120°45',,,angle_dms_min,False,False,-0.77
46,syn_000046.png,images/syn_000046.png,0.0816±0.025,0.0816,+0.025,-0.025,symmetric_tight,False,False,0.37
